 H: 11.25deg  R: -0.25deg  P: 109.81deg  aX: -0.11m/s2  aY: -9.47m/s2  aZ: -3.16m/s2 
 H: 11.25deg  R: -0.31deg  P: 109.81deg  aX: -0.04m/s2  aY: -9.56m/s2  aZ: -3.29m/s2 
 H: 11.19deg  R: -0.31deg  P: 109.81deg  aX: 0.01m/s2  aY: -9.57m/s2  aZ: -3.07m/s2 
 H: 11.06deg  R: -0.38deg  P: 109.81deg  aX: -0.12m/s2  aY: -9.26m/s2  aZ: -3.41m/s2 
 H: 11.06deg  R: -0.44deg  P: 109.81deg  aX: -0.17m/s2  aY: -9.44m/s2  aZ: -3.37m/s2 
 H: 11.00deg  R: -0.44deg  P: 109.88deg  aX: -0.20m/s2  aY: -9.46m/s2  aZ: -3.31m/s2 
 H: 11.00deg  R: -0.50deg  P: 109.88deg  aX: -0.18m/s2  aY: -9.50m/s2  aZ: -3.30m/s2 
 H: 10.94deg  R: -0.50deg  P: 109.88deg  aX: -0.25m/s2  aY: -9.18m/s2  aZ: -3.36m/s2 
 H: 10.81deg  R: -0.56deg  P: 109.88deg  aX: -0.20m/s2  aY: -9.91m/s2  aZ: -3.25m/s2 
 H: 10.81deg  R: -0.63deg  P: 109.94deg  aX: -0.25m/s2  aY: -9.49m/s2  aZ: -3.37m/s2 
